Date,asset_return,asset_name,HICP,HICP_YoY,HICP_MoM,HICP_12m_avg,high_inflation,roll_corr_12m,roll_corr_24m
2008-02-29,0.0097562331825555,Inflation Linked Bonds,69.92,3.3249593616077933,0.344431687715252,2.4019553280995605,1,,
2008-03-31,-0.007748876294146,Inflation Linked Bonds,70.61,3.6553141514973575,0.9868421052631636,2.543166147913883,1,,
2008-04-30,-0.0046710822865733,Inflation Linked Bonds,70.84,3.3406272793581326,0.3257328990228014,2.6604612960388336,1,,
2008-05-31,0.0008371172843459,Inflation Linked Bonds,71.28,3.7403580264881553,0.6211180124223503,2.8152281817969915,1,,
2008-06-30,-0.0003052950382615,Inflation Linked Bonds,71.56,4.041872637394595,0.3928170594837299,2.992768044860359,1,,
2008-07-31,0.0066205046091543,Inflation Linked Bonds,71.45,4.124162051879909,-0.1537171604248155,3.1868660569223977,1,,
2008-08-31,0.0085183329500584,Inflation Linked Bonds,71.35,3.9027231687782,-0.1399580125962307,3.363878966607523,1,,
2008-09-30,-0.0090179091390438,Inflation Linked Bonds,71.49,3.7139126650224794,0.1962158374211542,3.4930446297529545,1,,
2008-10-31,-0.0559660589335215,Inflation Linked Bonds,71.51,3.2337231124585086,0.0279759406910162,3.547802171813672,0,,
2008-11-30,0.0139480559825835,Inflation Linked Bonds,71.17,2.182340272792538,-0.4754579779051915,3.470596503700096,0,,
2008-12-31,0.0486126090869123,Inflation Linked Bonds,71.08,1.659038901601817,-0.1264577771532993,3.349546791167061,0,,
2009-01-31,-0.0032659568047241,Inflation Linked Bonds,70.5,1.176808266360485,-0.8159819921215505,3.17465332460333,0,-0.3170943435754621,
2009-02-28,-0.0149272249290831,Inflation Linked Bonds,70.79,1.2442791762013794,0.4113475177305092,3.001263309152796,0,-0.18962836694117932,
2009-03-31,0.0253172397626344,Inflation Linked Bonds,71.05,0.6231411981305834,0.3672835146206976,2.748582229705565,0,-0.30341960548390967,
2009-04-30,0.0186842935858906,Inflation Linked Bonds,71.3,0.6493506493506329,0.3518648838845895,2.52430917720494,0,-0.34498926805903535,
2009-05-31,0.0055437747991322,Inflation Linked Bonds,71.34,0.0841750841750865,0.056100981767182,2.2196272653455176,0,-0.32388843117027866,
2009-06-30,0.0083284350084769,Inflation Linked Bonds,71.48,-0.1117942984907749,0.1962433417437736,1.873488354021737,0,-0.3212938396434698,
2009-07-31,0.0131456173272817,Inflation Linked Bonds,71.01,-0.6158152554233687,-0.6575265808617781,1.4784902450797972,0,-0.38255856823451195,
2009-08-31,0.0118843002139279,Inflation Linked Bonds,71.25,-0.1401541695865371,0.3379805661174462,1.141583800216069,0,-0.47269079470133774,
2009-09-30,0.008964549396055,Inflation Linked Bonds,71.26,-0.3217233179465539,0.0140350877193107,0.8052808016353165,0,-0.45103524334336476,
2009-10-31,-0.0065231043702705,Inflation Linked Bonds,71.42,-0.1258565235631392,0.2245298905416692,0.5253158319668457,0,0.2298379065101042,
2009-11-30,0.0097356723752175,Inflation Linked Bonds,71.51,0.477729380356906,0.1260151218146266,0.3832649242638763,1,0.24052268673503843,
2009-12-31,0.0042042715542691,Inflation Linked Bonds,71.73,0.9144625773776172,0.3076492798210095,0.321216897245193,1,-0.33005764782797126,
2010-01-31,-0.0140113571250853,Inflation Linked Bonds,71.15,0.9219858156028548,-0.8085877596542557,0.2999816930153905,1,-0.36338389206045557,-0.28028741088972814
2010-02-28,0.0023211707636667,Inflation Linked Bonds,71.37,0.8193247633846656,0.3092059030217919,0.2645688252806644,1,-0.1652314395174928,-0.3002438456356738
2010-03-31,0.0229891972354561,Inflation Linked Bonds,72.16,1.5622800844475648,1.1069076642846951,0.3428303991404128,1,0.055898750260911866,-0.2728418225557849
2010-04-30,0.0031472147507525,Inflation Linked Bonds,72.45,1.6129032258064502,0.4018847006652004,0.4231264471783976,1,-0.043162703541789665,-0.25759171010356363
2010-05-31,0.0085315010691566,Inflation Linked Bonds,72.54,1.6820857863750982,0.1242236024844745,0.5562856723617319,1,-0.004536333665191035,-0.2553554612419309
2010-06-30,-0.013644054239446,Inflation Linked Bonds,72.54,1.4829322887520924,0.0,0.6891795546319708,1,-0.14228707609426477,-0.2538436183585498
2010-07-31,0.0136115020861051,Inflation Linked Bonds,72.23,1.718067877763696,-0.4273504273504258,0.8836698157308929,1,0.07556799357004118,-0.2851838201741091
2010-08-31,0.0213439795294505,Inflation Linked Bonds,72.37,1.5719298245614022,0.1938252803544315,1.026343481909888,1,0.2698223378958518,-0.3249775570784254
2010-09-30,-0.0112239766702827,Inflation Linked Bonds,72.6,1.88043783328653,0.3178112477545847,1.2098569111793116,1,0.23788852860373952,-0.3150428992145874
2010-10-31,0.0013513513513514,Inflation Linked Bonds,72.81,1.9462335480257664,0.2892561983471209,1.3825310838117204,1,0.06506525194147612,0.020014014338750667
2010-11-30,-0.0373009644378373,Inflation Linked Bonds,72.88,1.915815969794421,0.0961406400219688,1.5023716329315135,1,-0.09424638430791155,-0.1463429765774955
2010-12-31,0.0105977314593388,Inflation Linked Bonds,73.32,2.216645754914248,0.6037321624588365,1.6108868977262325,1,0.028276160231142,-0.25142920155382553
2011-01-31,-0.0002774402316104,Inflation Linked Bonds,72.8,2.319044272663384,-0.7092198581560183,1.72730843581461,1,-0.14404409442856747,-0.253542676078431
2011-02-28,0.0063825574537721,Inflation Linked Bonds,73.11,2.437999159310622,0.4258241758241743,1.86219796880844,1,-0.11995089776502654,-0.22697286553628773
2011-03-31,0.0024816464109531,Inflation Linked Bonds,74.09,2.674611973392471,1.340445903433185,1.954892292887182,1,0.022901253503594777,-0.20139349020643443
