asset,n_obs,beta_on_HICP_MoM,p_value,ci90_low,ci90_high,zero_in_ci
Inflation Linked Bonds,219,-0.0025916857315223855,0.23388955045030546,-0.006675002352059674,0.0009771263972369576,True
Euro Stoxx 50,229,-0.001884832940206606,0.7726790642942034,-0.01240461647898587,0.00915606921957043,True
VUSA,167,-0.004973571709426601,0.3745658617591711,-0.0172714842346636,0.0042750774908116695,True
