Date,asset_return,asset_name,price,HICP,HICP_YoY,HICP_MoM,HICP_12m_avg,high_inflation,roll_corr_12m
2007-04-30,0.0505401945099639,Euro Stoxx 50,4392.33984375,68.55,1.9330855018587332,0.6312389900176019,2.053676630136384,0,
2007-05-31,0.0273908811416181,Euro Stoxx 50,4512.64990234375,68.71,1.883155397390257,0.2334062727935792,2.000309297158189,0,
2007-06-30,-0.0050701657136346,Euro Stoxx 50,4489.77001953125,68.78,1.9113942806341824,0.1018774559743862,1.9533465824635945,0,
2007-07-31,-0.0387726046919379,Euro Stoxx 50,4315.68994140625,68.62,1.794985907135449,-0.2326257633032846,1.8964323392429725,0,
2007-08-31,-0.0048960613712705,Euro Stoxx 50,4294.56005859375,68.67,1.7785682525566893,0.0728650539201458,1.8512887624731669,0,
2007-09-30,0.020293091994221,Euro Stoxx 50,4381.7099609375,68.93,2.1639247072773093,0.3786223969710178,1.881998038270717,1,
2007-10-31,0.0246661871937035,Euro Stoxx 50,4489.7900390625,69.27,2.5766326077298896,0.4932540258232754,1.9612772416613005,1,
2007-11-30,-0.0211234474050825,Euro Stoxx 50,4394.9501953125,69.65,3.1088082901554515,0.5485780280063635,2.06451088882388,1,
2007-12-31,0.0010853409752715,Euro Stoxx 50,4399.72021484375,69.92,3.1116354519982403,0.3876525484565629,2.163485169375816,1,
2008-01-31,-0.1379451729607718,Euro Stoxx 50,3792.800048828125,69.68,3.2755298651252485,-0.3432494279176135,2.2817056533053344,1,
2008-02-29,-0.0180078169027728,Euro Stoxx 50,3724.5,69.92,3.3249593616077933,0.344431687715252,2.4019553280995605,1,
2008-03-31,-0.025893392779232,Euro Stoxx 50,3628.06005859375,70.61,3.6553141514973575,0.9868421052631636,2.543166147913883,1,-0.4711846502486923
2008-04-30,0.0542879549281338,Euro Stoxx 50,3825.02001953125,70.84,3.3406272793581326,0.3257328990228014,2.6604612960388336,1,-0.22833349639569145
2008-05-31,-0.0123319411752466,Euro Stoxx 50,3777.85009765625,71.28,3.7403580264881553,0.6211180124223503,2.8152281817969915,1,-0.14136025923377574
2008-06-30,-0.1125084447702654,Euro Stoxx 50,3352.81005859375,71.56,4.041872637394595,0.3928170594837299,2.992768044860359,1,-0.32773668679473456
2008-07-31,0.0044768446477163,Euro Stoxx 50,3367.820068359375,71.45,4.124162051879909,-0.1537171604248155,3.1868660569223977,1,-0.3367278873772192
2008-08-31,-0.0006503273638196,Euro Stoxx 50,3365.6298828125,71.35,3.9027231687782,-0.1399580125962307,3.363878966607523,1,-0.31903267655982914
2008-09-30,-0.0972863752228772,Euro Stoxx 50,3038.199951171875,71.49,3.7139126650224794,0.1962158374211542,3.4930446297529545,1,-0.2728800281914876
2008-10-31,-0.1469422515243119,Euro Stoxx 50,2591.760009765625,71.51,3.2337231124585086,0.0279759406910162,3.547802171813672,0,0.0421219432578743
2008-11-30,-0.0622935574912567,Euro Stoxx 50,2430.31005859375,71.17,2.182340272792538,-0.4754579779051915,3.470596503700096,0,0.11827961214971411
2008-12-31,0.0087107905430179,Euro Stoxx 50,2451.47998046875,71.08,1.659038901601817,-0.1264577771532993,3.349546791167061,0,-0.07197051984742488
2009-01-31,-0.0874981650712828,Euro Stoxx 50,2236.97998046875,70.5,1.176808266360485,-0.8159819921215505,3.17465332460333,0,0.08719754432483
2009-02-28,-0.1165634034620912,Euro Stoxx 50,1976.22998046875,70.79,1.2442791762013794,0.4113475177305092,3.001263309152796,0,0.23388054412415318
2009-03-31,0.0480206773916263,Euro Stoxx 50,2071.1298828125,71.05,0.6231411981305834,0.3672835146206976,2.748582229705565,0,-0.05033829413455993
2009-04-30,0.1468812784763751,Euro Stoxx 50,2375.340087890625,71.3,0.6493506493506329,0.3518648838845895,2.52430917720494,0,-0.3744864498333103
2009-05-31,0.0319532780719207,Euro Stoxx 50,2451.239990234375,71.34,0.0841750841750865,0.056100981767182,2.2196272653455176,0,-0.466057303134706
2009-06-30,-0.0202142789059945,Euro Stoxx 50,2401.68994140625,71.48,-0.1117942984907749,0.1962433417437736,1.873488354021737,0,-0.3717168120116019
2009-07-31,0.0984473213339971,Euro Stoxx 50,2638.1298828125,71.01,-0.6158152554233687,-0.6575265808617781,1.4784902450797972,0,-0.5720742625452444
2009-08-31,0.0500279480056045,Euro Stoxx 50,2770.110107421875,71.25,-0.1401541695865371,0.3379805661174462,1.141583800216069,0,-0.7144027868911126
2009-09-30,0.0370092781207311,Euro Stoxx 50,2872.6298828125,71.26,-0.3217233179465539,0.0140350877193107,0.8052808016353165,0,-0.7045201948304263
2009-10-31,-0.0449517995983781,Euro Stoxx 50,2743.5,71.42,-0.1258565235631392,0.2245298905416692,0.5253158319668457,0,-0.4834121766589879
2009-11-30,0.0195917623473664,Euro Stoxx 50,2797.25,71.51,0.477729380356906,0.1260151218146266,0.3832649242638763,1,-0.40606059867982797
2009-12-31,0.060412902041067,Euro Stoxx 50,2966.239990234375,71.73,0.9144625773776172,0.3076492798210095,0.321216897245193,1,-0.3936975881673872
2010-01-31,-0.0638552216722049,Euro Stoxx 50,2776.830078125,71.15,0.9219858156028548,-0.8085877596542557,0.2999816930153905,1,-0.33884947545971944
2010-02-28,-0.0174155803780867,Euro Stoxx 50,2728.469970703125,71.37,0.8193247633846656,0.3092059030217919,0.2645688252806644,1,-0.12523885625877182
2010-03-31,0.0742870339723831,Euro Stoxx 50,2931.159912109375,72.16,1.5622800844475648,1.1069076642846951,0.3428303991404128,1,0.014705220448018065
2010-04-30,-0.0389947352293192,Euro Stoxx 50,2816.860107421875,72.45,1.6129032258064502,0.4018847006652004,0.4231264471783976,1,-0.2444856677286681
2010-05-31,-0.0733441100294257,Euro Stoxx 50,2610.260009765625,72.54,1.6820857863750982,0.1242236024844745,0.5562856723617319,1,-0.3804146765179093
2010-06-30,-0.0141518244420282,Euro Stoxx 50,2573.320068359375,72.54,1.4829322887520924,0.0,0.6891795546319708,1,-0.4504365816025009
2010-07-31,0.0656038968080567,Euro Stoxx 50,2742.139892578125,72.23,1.718067877763696,-0.4273504273504258,0.8836698157308929,1,-0.1084208994650392
2010-08-31,-0.0434660323963957,Euro Stoxx 50,2622.949951171875,72.37,1.5719298245614022,0.1938252803544315,1.026343481909888,1,-0.05171044448642737
2010-09-30,0.0476371846576981,Euro Stoxx 50,2747.89990234375,72.6,1.88043783328653,0.3178112477545847,1.2098569111793116,1,0.20847548931594856
2010-10-31,0.035332468918469,Euro Stoxx 50,2844.989990234375,72.81,1.9462335480257664,0.2892561983471209,1.3825310838117204,1,0.11519896591106549
2010-11-30,-0.0681900465962687,Euro Stoxx 50,2650.989990234375,72.88,1.915815969794421,0.0961406400219688,1.5023716329315135,1,0.06980890154919013
2010-12-31,0.0588648200872039,Euro Stoxx 50,2807.0400390625,73.32,2.216645754914248,0.6037321624588365,1.6108868977262325,1,0.39778292670167903
2011-01-31,0.0522222133315057,Euro Stoxx 50,2953.6298828125,72.8,2.319044272663384,-0.7092198581560183,1.72730843581461,1,0.3554161330671476
2011-02-28,0.0201312308709125,Euro Stoxx 50,3013.090087890625,73.11,2.437999159310622,0.4258241758241743,1.86219796880844,1,0.3460761575198004
2011-03-31,-0.0339120878568829,Euro Stoxx 50,2910.909912109375,74.09,2.674611973392471,1.340445903433185,1.954892292887182,1,0.27817537419673666
2011-04-30,0.0344703515121544,Euro Stoxx 50,3011.25,74.51,2.843340234644587,0.5668781212039509,2.05742871029036,1,0.2799649393739327
