Date,asset_return,asset_name,price_eur,HICP,HICP_YoY,HICP_MoM,HICP_12m_avg,high_inflation,roll_corr_12m
2012-06-30,0.0,VUSA,19.652746200561523,76.27,2.3620990471077574,-0.0786060526660636,2.7009191726532324,0,
2012-07-31,0.0,VUSA,19.652746200561523,75.87,2.4024834660548056,-0.5244526025960261,2.686533853479687,0,
2012-08-31,0.0,VUSA,19.652746200561523,76.16,2.6138507140932354,0.3822327665743863,2.691329091122965,0,
2012-09-30,0.0,VUSA,19.652746200561523,76.72,2.6079978601043274,0.7352941176470562,2.659580519777205,0,
2012-10-31,0.0,VUSA,19.652746200561523,76.9,2.49233639877382,0.2346193952033504,2.61318924247409,0,
2012-11-30,0.0,VUSA,19.652746200561523,76.74,2.1973631642029368,-0.2080624187256297,2.543604339673949,0,
2012-12-31,0.0,VUSA,19.652746200561523,77.02,2.2298911600743265,0.3648683867604863,2.4998414053411704,0,
2013-01-31,0.0,VUSA,19.652746200561523,76.22,1.980198019801982,-1.0386912490262246,2.44278830992174,0,
2013-02-28,0.0,VUSA,19.652746200561523,76.5,1.850619091998396,0.3673576489110486,2.36903957720848,0,
2013-03-31,0.0,VUSA,19.652746200561523,77.4,1.735015772870674,1.176470588235312,2.289797347726306,0,
2013-04-30,0.0,VUSA,19.652746200561523,77.33,1.1775480832133756,-0.0904392764857986,2.173190077650957,0,
2013-05-31,0.0,VUSA,19.652746200561523,77.41,1.414908947988991,0.1034527350316727,2.088692643857053,0,
2013-06-30,0.0004244106897921,VUSA,19.66108703613281,77.5,1.61269175298282,0.1162640485725452,2.0262420360133078,0,-0.27339618440125996
2013-07-31,0.0309715531672654,VUSA,20.270021438598636,77.08,1.5948332674311283,-0.54193548387097,1.958937852794668,0,-0.24460668455759
2013-08-31,-0.029835154251835,VUSA,19.66526222229004,77.18,1.3392857142857206,0.1297353399066114,1.8527241028107084,0,0.1107040519083426
2013-09-30,0.0021207998517205,VUSA,19.70696830749512,77.55,1.0818561001042726,0.4793988079813349,1.7255456228107038,0,0.09637661876205976
2013-10-31,0.0455026346462834,VUSA,20.603687286376957,77.46,0.728218465539654,-0.1160541586073593,1.5785357950411896,0,-0.3480484544488803
2013-11-30,0.0267205973265238,VUSA,21.15423011779785,77.39,0.8470158978368669,-0.090369222824671,1.4660068561773505,0,-0.4422478013354498
2013-12-31,0.0027602787111498,VUSA,21.212621688842773,77.67,0.84393663983382,0.3618038506266963,1.3505106461573082,0,-0.4004672194014328
2014-01-31,-0.0098309377231877,VUSA,21.00408172607422,76.8,0.7609551298871642,-1.1201235998455017,1.2489070719977402,0,-0.26263920733014456
2014-02-28,0.0231534369010046,VUSA,21.490398406982425,77.04,0.7058823529411784,0.3125000000000044,1.153512343742972,0,-0.3147230886363759
2014-03-31,0.0046998542134581,VUSA,21.59140014648437,77.76,0.4651162790697771,0.9345794392523256,1.0476873859262306,0,-0.23357880891535762
2014-04-30,-0.0001552104784828,VUSA,21.588048934936523,77.88,0.7112375533428139,0.1543209876543105,1.0088281751036838,0,-0.1840094534199245
2014-05-31,0.0415696450588447,VUSA,22.485456466674805,77.79,0.4908926495285071,-0.1155624036979885,0.9318268168986436,0,-0.27988158298309274
2014-06-30,0.0190559642984835,VUSA,22.913938522338867,77.88,0.4903225806451639,0.1156961048977889,0.8382960525371722,0,-0.24890388758153756
2014-07-31,0.0144624760987699,VUSA,23.245330810546875,77.37,0.376232485729111,-0.6548536209553091,0.7367459873953375,0,-0.5691901852899827
